"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"10903",123,12.51750367,13,13,9.409987165,13.61931598,6.487992497,11.52769218,52,123,12,10,11,0.68947942,0.846422258,10.79749205,0.554802566,1.181818182,3,0.769230769,20.30003044,10.20239117,5.374736411,3978.999998,251.9999986,11.35042082,0.096577017,1,40.36244347,5242.222222,3608.736111,"R3+TPO","TPO"
"11069",146,13.63771466,14,14,8.759626864,14.04792319,7.286645888,13.24864376,58,146,14,12,13,0.831844324,0.943103374,14.7530101,0.452429002,1.076923077,4,0.857142857,8.562554114,8.361343863,8.141267685,7255.999992,688.9999998,40.24886979,0.241723923,1,86.28184384,7153.571429,4114.636364,"R3+TPO","TPO"
"11593",180,15.14263395,16,16,15.5415011,17.90374675,4.569744276,13.11572613,66,180,14,10,15,0.294034936,0.732568792,6.242656205,0.25752085,1.066666667,4,0.625,55.52297681,27.50488979,26.28997221,10010.00003,725.0000088,36.37007209,0.197030268,1,100.2091238,2909.714286,11422.73214,"R3+TPO","TPO"
"11603",133,13.01640317,13,13,7.368167131,13.32144787,4.713205936,12.77398434,56,133,14,12,13,0.639671421,0.958903602,12.0950686,0.497502519,1,4,0.923076923,20.29052761,8.222612035,10.07922317,4736.999992,498,25.06869366,0.206956522,1,72.59796542,3626.290179,1670.107143,"R2+TPO","TPO"
"11769",139,13.30676759,13,13,8.275758041,13.48166888,6.455650703,13.12151329,56,139,14,12,13,0.780067599,0.973285534,15.38135514,0.526441391,1,3,0.923076923,9.991912679,13.40089607,1.092361699,3802.000001,420.0000021,10.9014677,0.135360763,1,45.76816708,2255.451923,1887.802885,"R2+TPO","TPO"
"11894",128,12.76939015,13,13,7.408897272,12.97140871,6.175844933,12.58092466,54,128,12,12,12,0.833571408,0.969896558,14.45147644,0.551114185,1.083333333,1,0.923076923,9.884661884,5.460536309,4.955110879,4416.999993,334.9999986,14.96048456,0.143543544,1,56.97221634,2306.41,1391.13,"R2+TPO","TPO"
"12029",247,17.7383675,18,18,11.44831165,19.46892224,9.990718641,16.33450957,74,247,16,14,17,0.872680527,0.839004304,9.976127008,0.497837443,1.058823529,3,0.777777778,15.20248971,16.9403408,2.555554975,15332,3523.999998,20.85020168,0.2101983,1,93.88717949,8174.772727,30825.37879,"R3+TPO","TPO"
"12030",134,13.06524538,13,13,7.970314232,13.49321793,7.589356334,12.65704687,56,134,14,12,13,0.952202901,0.938030271,13.53170218,0.524804364,1,3,0.923076923,3.405870701,12.00430336,7.286518693,4191,315,12.47416956,0.119852489,1,44.96098219,3705.678571,2803.549107,"R2+TPO","TPO"
"12049",184,15.30996096,15,15,10.16144664,15.90509607,9.488164964,14.76708066,62,184,14,14,14,0.933741553,0.928449636,16.51473227,0.529627979,1.071428571,4,0.933333333,8.092387477,2.517384611,5.473678656,7030.000013,2781.000014,17.70393097,0.171149144,1,67.05094605,6825.961538,3357.615385,"R3+TPO","TPO"
"12057",142,13.44959924,14,14,7.34550295,14.40892562,6.961485528,12.5487979,56,142,12,10,12,0.947720745,0.870904482,12.96903336,0.533997955,1.166666667,1,0.714285714,7.021047582,6.585728255,3.602061065,5872.999973,336.0000038,14.64608176,0.193148258,1,67.19907242,3125.333333,1547.898148,"R2+TPO","TPO"
"12128",168,14.62917424,16,16,11.45807052,15.98233725,8.093167078,13.43387847,62,168,14,14,13,0.706328964,0.840545301,10.87842633,0.600396651,1.230769231,4,0.875,18.68625186,4.682024487,8.314547571,5125.000011,526.9999962,10.5068416,0.096453018,1,33.64555309,11142.35714,6422.25,"R3+TPO","TPO"
"12202",144,13.54398355,19,19,17.51136463,19.91269384,4.765288873,9.869951932,65,144,10,6,11,0.272125501,0.495661311,2.940253366,0.34101786,1.727272727,4,0.315789474,69.57787802,23.57580042,31.71781735,4372.000002,1094.999998,11.08779971,0.136969697,1,48.30083318,2061.016129,7591.766129,"R2+TPO","TPO"
"12207",175,14.93083843,15,15,11.74884003,15.08080196,10.67518864,14.76461103,64,175,16,14,15,0.908616393,0.979033547,17.94817989,0.450598854,1,3,0.933333333,3.049851006,7.588440199,3.159043437,4746.999993,4261,18.49609286,0.150159744,1,54.23003159,5146.233871,924.6370968,"R4+TPO","TPO"
"12316",155,14.05176961,14,14,10.97063899,14.89439176,8.595225244,13.28325553,58,155,14,10,13,0.783475352,0.891829337,12.88776166,0.458405164,1.076923077,4,0.714285714,15.75242179,6.400575988,5.571187586,6268,748.9999998,14.11228417,0.150278293,1,46.40477926,8958.785714,7709.714286,"R3+TPO","TPO"
