"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region","Treatment"
"1723",213,16.47232769,16,16,13.02378211,16.55374465,11.49761406,16.40500911,68,213,16,14,16,0.882816831,0.991014991,18.85385843,0.527499378,1,1,0.875,5.770229079,1.713727628,2.507191539,6429.999963,557.9999962,14.55737689,0.143782383,1,54.87964666,8852.236111,2763.902778,"R4+TPO","TPO"
"1724",162,14.36556392,15,15,7.756473296,14.76733131,7.506445732,13.94344839,62,162,14,12,14,0.967765303,0.944209085,16.62322667,0.47558964,1.071428571,1,0.8,3.048390558,0.983917954,0.954514347,10684,482.9999995,28.3909946,0.296142433,1,115.6895288,1622.877193,41.05,"R1","NoTPO"
"1725",128,12.76939015,13,13,8.814793194,13.85644543,7.028094456,11.88001104,54,128,12,8,12,0.797306789,0.857363535,9.27680896,0.520813001,1.083333333,3,0.615384615,10.57805582,10.10415434,3.845027406,3462.999999,498,16.21624695,0.135737705,1,47.91208418,3729.575,3293.75,"R2","NoTPO"
"1726",132,12.967377,14,14,11.0005609,13.70458209,9.120719316,12.27672378,56,132,12,12,12,0.829114024,0.895811613,12.42545825,0.45524481,1.166666667,3,0.857142857,13.16255513,8.406666179,4.460400964,3353,549,9.904053892,0.094736842,1,32.38836428,4262.84375,1728.191964,"R2","NoTPO"
"1727",191,15.59846473,16,16,11.46356042,16.60519911,11.16788737,14.6514914,64,191,14,14,14,0.974207573,0.882343614,14.97692835,0.452137564,1.142857143,1,0.875,3.960545456,2.316214037,2.588310006,12167,1605,33.43970115,0.235867446,1,90.48918039,8089.274194,437.0241935,"R4","NoTPO"
"1728",162,14.36556392,15,15,9.504615892,14.93689441,7.656290154,13.83576642,62,162,14,14,14,0.805533884,0.92628133,14.11384642,0.490317511,1.071428571,3,0.933333333,11.15301047,9.8085236,5.033373693,4521.000077,504.000005,18.12402371,0.177807487,1,62.35080195,2394.75,287,"R1","NoTPO"
"1729",192,15.6392451,15,15,12.43841986,16.17775258,11.02583815,15.14330934,64,192,16,14,15,0.88643399,0.936057667,16.04387984,0.433971014,1,1,0.933333333,5.462799636,3.525043948,2.039091265,4948.999966,7802.999981,30.28060981,0.21887287,1,76.12800393,6003.25,763.5,"R4","NoTPO"
"1730",171,14.7592139,15,15,9.817845468,15.04428567,8.272477597,14.49882621,62,171,14,12,14,0.842596028,0.96374308,16.16320836,0.496909944,1.071428571,4,0.8,8.977095428,3.809500799,6.32555798,5460,268.0000002,29.76568746,0.205479452,1,80.81136001,6245.899038,321.5240385,"R4","NoTPO"
"1731",159,14.23192786,15,15,10.66355715,15.60316054,5.73710332,13.01769912,60,159,14,12,13,0.538010275,0.834298865,9.774607065,0.387331817,1.153846154,3,0.8,31.41995675,15.90157229,6.552161712,7285,511.999999,15.28665689,0.181818182,1,67.97598214,6278.732143,12278.58929,"R3+TPO","TPO"
"1732",180,15.14263395,16,16,10.17889158,16.05016136,8.480959317,14.44393928,66,180,16,14,14,0.833190849,0.899924864,11.05657711,0.517625027,1.142857143,1,0.875,7.643329983,6.889874598,1.398984169,6980.999997,380.9999981,29.22765692,0.220607662,1,82.18446205,1656.410714,3223.107143,"R2","NoTPO"
