"","Area","Diameter","Height","Length","Major.Axis.Intensity","Major.Axis","Minor.Axis.Intensity","Minor.Axis","Perimeter","Spot.Area.Min","Thickness.Max","Thickness.Min","Width","Aspect.Ratio.Intensity","Aspect.Ratio","Circularity","Compactness","Elongatedness","Lobe.Count","Shape.Ratio","Symmetry.2","Symmetry.3","Symmetry.4","BDI.R3","BDI.R7","Contrast","Modulation","Spot.Count","Std.Dev","Ckit","Sca1","Region"
"8165",227,17.00505732,18,18,11.8798869,18.27776542,10.93489357,16.02653663,72,227,16,12,16,0.920454349,0.876832384,10.38023575,0.49067835,1.125,1,0.666666667,2.667690965,2.475340491,2.477983612,6778.999938,9976.000007,25.54804973,0.244444444,1,92.89927566,4013.651786,1353.089286,"R4+TPO"
"8202",284,19.02060566,20,20,13.84885618,20.4800494,12.83708135,18.18313216,82,284,18,14,19,0.926941632,0.887846108,8.677448591,0.570454823,1.052631579,4,0.7,4.536331262,10.56706759,7.354041059,8722,4547,9.696995455,0.14678326,1,53.40235849,8301.5,1493.125,"R4+TPO"
"8222",149,13.77711571,14,14,8.907188289,13.98904709,6.862392428,13.5719268,58,149,14,12,13,0.770433071,0.970182366,16.14632043,0.481283353,1.076923077,1,0.857142857,12.90557885,1.806674331,3.956100305,7612.999986,390.0000012,36.53800534,0.206670637,1,79.45205347,3389.451923,2275.552885,"R2+TPO"
"8250",124,12.56828482,13,13,7.79277345,13.75727059,3.192072753,11.59217429,54,124,12,10,12,0.409619601,0.842621668,9.13982285,0.265647628,1.083333333,2,0.769230769,36.86961324,13.59204584,9.833431962,6694.000009,299.0000014,75.92999181,0.23819978,1,123.9492032,2125.32,10006.48,"R2+TPO"
"8303",123,12.51750367,13,13,8.238255435,13.56325376,6.31868369,11.69315181,54,123,12,10,12,0.766992932,0.862119961,8.856584833,0.666928753,1.083333333,4,0.769230769,18.5079015,5.852291889,6.927222407,3181.999997,198.9999988,5.558996873,0.087116564,1,38.91578553,1137.044643,418.9821429,"R1+TPO"
"8555",154,14.00636798,16,16,13.13510277,16.29878977,6.972282202,12.03451144,60,154,14,12,12,0.530812916,0.738368407,7.096832717,0.476550774,1.333333333,2,0.75,34.98776257,5.440243345,8.700381367,5067.000001,725.9999897,16.39746806,0.122763726,1,45.47158911,3601.166667,2567.5,"R2+TPO"
"8571",221,16.77881588,20,20,15.25394339,21.38097696,10.76282052,14.16535305,76,221,14,6,15,0.705576273,0.662521319,4.481568983,0.3715826,1.333333333,4,0.3,22.81613365,17.96580448,18.36133764,5901,7794,23.17252059,0.208036293,1,66.74006408,7587.178571,1145.035714,"R4+TPO"
"8589",799,31.90351697,36,36,31.53838723,34.37629225,27.75138725,30.07537723,140,4,30,28,32,0.879924108,0.874887175,14.22699666,0.522316356,1.125,1,0.777777778,6.681218727,2.676582045,0.824029442,39998,12585,23.04156333,0.188405797,2,73.25334068,38072.3125,7493.053977,"R4+TPO"
"8615",155,14.05176961,14,14,8.928172872,14.72914281,7.774770819,13.40509285,60,155,14,12,14,0.870813203,0.910106788,13.31174266,0.548231279,1,1,0.857142857,11.04102017,2.497297348,4.157157503,5756.99999,169.0000079,10.44909572,0.100728155,1,42.44955677,7754.267857,5421.071429,"R3+TPO"
"8794",123,12.51750367,13,13,8.313970317,12.97668711,6.927677089,12.06326822,54,123,12,10,12,0.833257376,0.929610779,13.01623894,0.594911667,1.083333333,1,0.769230769,9.855129249,6.415189549,2.961393544,2894.000004,491.9999993,10.65634273,0.124174373,1,42.44505144,2239.334821,1181.526786,"R2+TPO"
